Cidade,Ano,Fonte Energia,Indústria Predominante,Clima,Consumo MWh,Custo Unitário USD,Emissoes CO2 Ton,Perc Energia Renovavel,Residencias Atendidas,Investimento Infra Bilhoes,Emissão CO2,População Cidade
Osaka,2016,Solar,Financeiro,Temperado,6506,2,167843,"0,8428",428513,747,115698,14059953
Londres,2015,Carvão,Manufatura,Desértico,32370,23,168965,"0,7314",727955,2515,7924364,645118
Paris,2016,Nuclear,Manufatura,Temperado,12336,14,75292,"0,7611",762061,4297,1336511,3471608
Toronto,2023,Carvão,Tecnologia,Frio,14702,15,479723,"0,081",660526,3361,589064,1594673
Vancouver,2020,Solar,Agronegócio,Temperado,18321,16,239448,"0,7241",258274,4891,3831141,4837294
Sydney,2021,Nuclear,Mineração,Desértico,14440,1,466281,"0,0288",866551,916,2135373,17209957
Melbourne,2016,Solar,Manufatura,Mediterrâneo,21932,16,33464,"0,1017",486331,227,1809551,16082153
Cidade do México,2019,Solar,Mineração,Desértico,1097,15,239486,"0,2254",868356,4182,86542,17131998
Moscou,2018,Nuclear,Agronegócio,Mediterrâneo,22349,19,125917,"0,7864",373917,1748,4907794,4943635
Nova York,2019,Eólica,Agronegócio,Mediterrâneo,6284,9,492359,"0,1055",902913,1558,918101,9794774
Los Angeles,2020,Eólica,Agronegócio,Desértico,35603,6,240828,"0,6782",502931,4571,5242031,6870077
São Paulo,2019,Solar,Tecnologia,Tropical,16488,14,134191,"0,5278",114272,1179,545682,9738411
Rio de Janeiro,2022,Carvão,Agronegócio,Desértico,31667,5,411840,"0,8546",519157,1425,3782384,15684654
Berlim,2023,Solar,Financeiro,Desértico,27146,19,199184,"0,8795",566570,4633,830527,16566553
Munique,2017,Gás Natural,Manufatura,Temperado,49691,17,156377,"0,5803",767457,998,3109907,14144410
Mumbai,2017,Nuclear,Financeiro,Temperado,44803,21,245927,"0,6514",475598,122,4836175,5269163
Nova Délhi,2017,Hidrelétrica,Manufatura,Desértico,8862,23,308364,"0,0755",632106,805,2200437,15870640
Pequim,2018,Carvão,Agronegócio,Mediterrâneo,48224,14,205744,"0,0556",875354,1305,9166849,4087455
Xangai,2017,Solar,Financeiro,Desértico,15320,24,431043,"0,6657",331561,1885,62051,18205949
Tóquio,2019,Carvão,Financeiro,Mediterrâneo,701,21,243621,"0,2421",470044,4303,130379,1043458
Osaka,2023,Nuclear,Tecnologia,Tropical,2888,16,96523,"0,6982",793917,4794,431939,7517119
Londres,2022,Eólica,Mineração,Temperado,32317,12,316441,"0,7196",308976,1623,2116037,6042026
Paris,2016,Gás Natural,Turismo,Frio,12518,1,273841,"0,1934",829137,4668,93819,8241493
Toronto,2021,Nuclear,Manufatura,Mediterrâneo,609,23,482238,"0,6273",581530,3905,62224,7341154
Vancouver,2020,Eólica,Turismo,Desértico,4999,9,374092,"0,7749",373534,4451,97733,11841114
Sydney,2019,Gás Natural,Agronegócio,Mediterrâneo,21131,13,8560,"0,0625",87188,4077,2916634,9100909
Melbourne,2016,Hidrelétrica,Financeiro,Tropical,20891,11,141251,"0,6619",129092,776,672505,3599277
Cidade do México,2019,Gás Natural,Financeiro,Desértico,25251,23,229154,"0,0194",896774,256,542273,15598875
Moscou,2016,Solar,Agronegócio,Tropical,4130,2,162223,"0,3177",409905,2291,100981,1462879
Nova York,2022,Eólica,Tecnologia,Frio,38491,5,177836,"0,5697",452159,2882,6993736,17125224
Los Angeles,2015,Carvão,Manufatura,Temperado,21612,23,234151,"0,5365",604784,1496,431886,7933464
São Paulo,2019,Nuclear,Mineração,Tropical,39807,7,489096,"0,8739",258724,3956,602894,13838852
Rio de Janeiro,2023,Solar,Mineração,Tropical,32709,1,115207,"0,2551",768937,314,1457586,3958792
Berlim,2018,Nuclear,Manufatura,Tropical,44506,1,54645,"0,2383",316986,448,8118355,10076713
Munique,2020,Gás Natural,Turismo,Tropical,48499,14,184188,"0,5338",905210,1652,762284,16631827
Mumbai,2021,Hidrelétrica,Tecnologia,Mediterrâneo,43543,11,313823,"0,1296",498997,2611,1675515,16032067
Nova Délhi,2015,Nuclear,Manufatura,Mediterrâneo,37576,21,51307,"0,0171",396687,477,2046037,8603557
Pequim,2018,Nuclear,Financeiro,Desértico,13991,19,40814,"0,5434",720438,1914,2619429,17323771
Xangai,2020,Gás Natural,Turismo,Mediterrâneo,37388,11,115803,"0,6273",687426,472,3555641,8715805
Tóquio,2016,Eólica,Turismo,Tropical,40078,12,368632,"0,7903",297088,4181,4705757,7922462
Osaka,2018,Carvão,Mineração,Frio,34709,12,441318,"0,4021",930901,1171,6319091,14103378
Londres,2017,Carvão,Agronegócio,Tropical,25802,22,469398,"0,2404",263616,3758,3394913,2503664
Paris,2022,Hidrelétrica,Mineração,Tropical,44800,22,151619,"0,2661",676320,3834,6021473,13607046
Toronto,2015,Hidrelétrica,Financeiro,Frio,18439,6,119323,"0,8916",265508,4085,25795,11082620
Vancouver,2019,Hidrelétrica,Agronegócio,Desértico,40027,12,314228,"0,1853",909542,221,7480842,17562769
Sydney,2019,Nuclear,Manufatura,Frio,33931,22,119499,"0,4092",598337,357,4130522,16101815
Melbourne,2017,Eólica,Manufatura,Tropical,40102,18,431894,"0,3285",792499,1447,412352,4048217
Cidade do México,2022,Solar,Agronegócio,Mediterrâneo,42308,19,28502,"0,4428",560861,347,9110676,4227360
Moscou,2015,Eólica,Mineração,Temperado,21629,6,322631,"0,1708",127229,4426,43397,1238924
Nova York,2023,Solar,Tecnologia,Mediterrâneo,2254,19,220576,"0,6742",491774,4936,159046,10351804
Los Angeles,2020,Solar,Tecnologia,Mediterrâneo,23549,16,445074,"0,7578",286401,4832,4553857,2788198
São Paulo,2016,Solar,Tecnologia,Temperado,40522,24,155965,"0,7414",423562,3377,4135454,7694166
Rio de Janeiro,2020,Carvão,Turismo,Desértico,28220,2,214383,"0,6543",49400,4517,3063549,9781304
Berlim,2022,Eólica,Manufatura,Desértico,43681,22,422452,"0,3178",91365,975,7439767,5201690
Munique,2015,Carvão,Manufatura,Desértico,11995,16,46751,"0,8598",984322,2495,2287133,18968931
Mumbai,2020,Nuclear,Agronegócio,Frio,44449,11,347808,"0,5346",698525,3366,7898829,9235288
Nova Délhi,2019,Solar,Agronegócio,Desértico,35408,1,320979,"0,5363",19573,3289,622104,12389417
Pequim,2015,Eólica,Financeiro,Temperado,5007,7,281371,"0,2794",607831,2096,237327,5995654
Xangai,2022,Solar,Mineração,Temperado,17681,19,320950,"0,8061",353780,3238,3868234,3347221
Tóquio,2023,Gás Natural,Mineração,Mediterrâneo,8131,8,69213,"0,2521",540573,72,829183,3696986
Osaka,2018,Nuclear,Manufatura,Temperado,20964,14,92141,"0,6261",472057,2621,958561,10061118
Londres,2021,Carvão,Turismo,Tropical,47957,1,347328,"0,7952",523242,2654,5286011,8049329
Paris,2019,Eólica,Mineração,Desértico,26384,22,431967,"0,2614",872542,4369,2474404,8206729
Toronto,2016,Hidrelétrica,Financeiro,Frio,1957,16,149986,"0,8133",313396,4919,409964,17774300
Vancouver,2023,Solar,Manufatura,Mediterrâneo,5864,5,207879,"0,3528",342057,1695,1168608,4288140
Sydney,2019,Carvão,Financeiro,Frio,1550,14,149435,"0,4694",97789,3599,351628,19516324
Melbourne,2016,Nuclear,Tecnologia,Mediterrâneo,47508,25,263109,"0,8333",189298,1855,8139357,10044758
Cidade do México,2015,Hidrelétrica,Agronegócio,Mediterrâneo,20687,24,415880,"0,6998",543002,259,475038,13359955
Moscou,2016,Nuclear,Mineração,Tropical,42693,17,448806,"0,2229",10058,3526,9448322,9848979
Nova York,2016,Carvão,Agronegócio,Desértico,36304,11,245093,"0,5053",62148,1584,8590878,1956567
Los Angeles,2017,Hidrelétrica,Tecnologia,Tropical,49380,25,424268,"0,2116",184649,752,9072402,11705532
São Paulo,2018,Nuclear,Manufatura,Mediterrâneo,8405,24,495304,"0,3969",119128,294,347296,8007825
Rio de Janeiro,2023,Eólica,Tecnologia,Tropical,34212,19,113684,"0,0317",925740,1863,2073552,839336
Berlim,2016,Carvão,Financeiro,Desértico,28523,11,395111,"0,3391",899351,2861,629581,5495974
Munique,2018,Carvão,Agronegócio,Frio,13450,6,132788,"0,3548",33299,4545,167779,824020
Mumbai,2016,Hidrelétrica,Mineração,Tropical,587,1,497309,"0,0333",62318,43,50079,3149363
Nova Délhi,2018,Eólica,Manufatura,Tropical,2451,7,236862,"0,3517",565873,673,40613,5498473
Pequim,2020,Gás Natural,Agronegócio,Desértico,29665,15,461569,"0,2176",374281,311,2188959,3188176
Xangai,2015,Eólica,Financeiro,Mediterrâneo,39994,11,260801,"0,1473",922674,3541,2846598,6953129
Tóquio,2021,Nuclear,Agronegócio,Temperado,44288,11,491128,"0,5205",173977,3875,3772355,583281
Osaka,2016,Solar,Financeiro,Temperado,5838,13,31543,"0,7802",554108,572,932191,6864578
Londres,2017,Carvão,Mineração,Temperado,20313,6,349378,"0,0114",193809,4672,730011,2510534
Paris,2017,Eólica,Manufatura,Tropical,6090,19,329206,"0,0204",264934,4494,1101101,18430023
Toronto,2020,Carvão,Agronegócio,Mediterrâneo,4025,9,348461,"0,3895",559000,326,258953,6634556
Vancouver,2018,Solar,Financeiro,Temperado,16317,5,370259,"0,1532",482783,3712,371812,18153452
Sydney,2021,Gás Natural,Financeiro,Frio,19221,25,239045,"0,7049",527437,705,2853931,13789278
Melbourne,2015,Solar,Financeiro,Frio,37955,16,246238,"0,8413",354057,617,404857,17205991
Cidade do México,2016,Eólica,Manufatura,Temperado,16921,21,204902,"0,2306",801925,2185,418372,11072448
Moscou,2023,Carvão,Agronegócio,Temperado,32094,19,263781,"0,1289",499722,3044,7236387,12656624
Nova York,2015,Solar,Manufatura,Mediterrâneo,7946,23,235300,"0,7011",26807,37,423951,9157833
Los Angeles,2022,Nuclear,Mineração,Desértico,30206,24,474812,"0,1207",367617,1335,1250346,4816241
São Paulo,2019,Solar,Agronegócio,Tropical,2524,18,142085,"0,3013",247856,1651,345118,14799056
Rio de Janeiro,2023,Carvão,Financeiro,Tropical,12288,15,494917,"0,6566",537802,2567,2757025,5068896
Berlim,2021,Gás Natural,Agronegócio,Tropical,19304,16,408682,"0,2467",895729,1654,4530906,8526699
Munique,2023,Gás Natural,Mineração,Desértico,36585,19,306790,"0,0361",687292,4131,4069441,19151021
Mumbai,2021,Gás Natural,Financeiro,Mediterrâneo,20957,19,88096,"0,3156",714945,1398,3692388,9305528
Nova Délhi,2017,Hidrelétrica,Financeiro,Mediterrâneo,16497,18,476504,"0,02",978240,4247,199286,683205
Pequim,2016,Gás Natural,Agronegócio,Tropical,37001,23,119731,"0,2313",768347,3439,1376657,7824532
Xangai,2023,Nuclear,Financeiro,Tropical,42724,17,156343,"0,6827",835525,673,2434914,8325351
Tóquio,2020,Carvão,Manufatura,Frio,38216,14,28457,"0,0884",827098,3825,798527,18922267
Osaka,2021,Nuclear,Turismo,Temperado,48595,11,19453,"0,4257",171958,655,7548344,12545258
Londres,2021,Solar,Agronegócio,Desértico,14482,22,196907,"0,1619",931261,2145,1344257,8139297
Paris,2023,Eólica,Tecnologia,Tropical,19362,13,184031,"0,3094",524886,1563,2956581,17075642
Toronto,2017,Hidrelétrica,Mineração,Tropical,44584,17,418126,"0,0785",918710,2653,6956398,3663671
Vancouver,2019,Eólica,Turismo,Temperado,38957,23,245533,"0,4707",855154,4889,9400272,11189458
Sydney,2016,Solar,Turismo,Temperado,11526,19,163829,"0,5063",95217,1725,188316,18918833
Melbourne,2021,Gás Natural,Tecnologia,Temperado,32626,12,396109,"0,4922",400558,3453,7726545,16079837
Cidade do México,2023,Eólica,Tecnologia,Mediterrâneo,13901,7,93406,"0,2278",987127,397,3315614,12814717
Moscou,2020,Nuclear,Agronegócio,Frio,37690,6,372780,"0,4244",131202,491,3314945,14744634
Nova York,2020,Solar,Manufatura,Mediterrâneo,46281,11,338414,"0,4423",840017,2344,1554566,5979839
Los Angeles,2022,Solar,Manufatura,Temperado,47245,9,403970,"0,7616",450458,2762,3947825,15550551
São Paulo,2017,Eólica,Tecnologia,Mediterrâneo,20050,15,379366,"0,7369",100489,2614,3422343,11673161
Rio de Janeiro,2021,Nuclear,Mineração,Temperado,11395,1,156367,"0,5037",812730,3966,2784942,2287805
Berlim,2022,Gás Natural,Agronegócio,Tropical,29905,19,351368,"0,5939",336713,323,5654384,16689879
Munique,2019,Gás Natural,Mineração,Mediterrâneo,46895,13,460818,"0,4888",903940,4518,865130,19946188
Mumbai,2023,Nuclear,Mineração,Frio,18432,17,234832,"0,8506",485954,2115,3647032,19162083
Nova Délhi,2020,Gás Natural,Mineração,Desértico,34677,9,231569,"0,4915",36824,307,610451,10534000
Pequim,2015,Carvão,Mineração,Tropical,39166,8,172778,"0,1975",616319,4008,9389096,5786710
Xangai,2015,Hidrelétrica,Tecnologia,Mediterrâneo,43828,6,75219,"0,3777",995637,1148,2027143,19076232
Tóquio,2017,Eólica,Mineração,Tropical,33491,22,366315,"0,3096",573037,2573,5504407,10405823
Osaka,2022,Carvão,Agronegócio,Tropical,33643,11,251051,"0,6139",689800,456,7962996,9099123
Londres,2019,Carvão,Tecnologia,Temperado,23963,9,41707,"0,1545",57962,3831,1161278,8971587
Paris,2022,Solar,Financeiro,Desértico,16803,15,418456,"0,3487",349583,685,2541086,14010976
Toronto,2018,Hidrelétrica,Financeiro,Frio,40081,23,475058,"0,4694",109202,3341,1178758,8226619
Vancouver,2018,Solar,Manufatura,Desértico,29686,8,479175,"0,1596",454879,1565,4044331,10530207
Sydney,2015,Eólica,Tecnologia,Frio,13055,2,434417,"0,2941",709356,375,1913732,9266475
Melbourne,2021,Hidrelétrica,Manufatura,Frio,918,25,218581,"0,2392",673641,836,22046,5192483
Cidade do México,2023,Hidrelétrica,Agronegócio,Tropical,3032,8,169119,"0,3753",418707,2144,671535,9691673
Moscou,2020,Carvão,Financeiro,Tropical,45031,17,419535,"0,6892",962910,3131,7483841,13773992
Nova York,2022,Eólica,Manufatura,Desértico,2092,13,481054,"0,7225",814219,4376,30062,7974252
Los Angeles,2016,Solar,Tecnologia,Desértico,20624,19,347449,"0,6762",633460,2624,494752,14383348
São Paulo,2017,Eólica,Turismo,Desértico,43241,6,485885,"0,1052",565273,207,2206825,6592823
Rio de Janeiro,2019,Hidrelétrica,Mineração,Desértico,11422,9,17144,"0,0422",34715,453,1116103,7669027
Berlim,2022,Nuclear,Financeiro,Desértico,32419,11,148537,"0,8239",790539,2178,1012215,10327677
Munique,2018,Nuclear,Mineração,Frio,48081,22,466596,"0,1597",140381,2111,3002837,9966322
Mumbai,2017,Carvão,Financeiro,Desértico,45910,19,85482,"0,3189",799416,3026,5964199,16974128
Nova Délhi,2020,Carvão,Mineração,Desértico,48530,13,341153,"0,0351",445720,2818,6249686,18021144
Pequim,2017,Gás Natural,Agronegócio,Frio,788,2,18309,"0,4639",485501,2205,74583,14970062
Xangai,2022,Hidrelétrica,Turismo,Mediterrâneo,39024,9,83663,"0,7617",278993,2285,169016,7412947
Tóquio,2018,Carvão,Mineração,Temperado,46211,13,451581,"0,8445",814232,3045,10529151,2781229
Osaka,2015,Carvão,Mineração,Tropical,28537,14,41922,"0,1054",122097,4509,2793505,8724175
Londres,2019,Gás Natural,Manufatura,Tropical,14946,25,437243,"0,3551",734609,798,1981877,566632
Paris,2022,Eólica,Agronegócio,Temperado,8768,17,280610,"0,5801",531260,358,1673895,13672913
Toronto,2015,Eólica,Turismo,Desértico,39413,12,239425,"0,2722",845943,2855,5831188,11610800
Vancouver,2022,Nuclear,Agronegócio,Mediterrâneo,29126,5,2107,"0,8327",96961,777,2275654,10256109
Sydney,2015,Nuclear,Manufatura,Mediterrâneo,33042,23,234646,"0,2956",690144,522,6020853,4213535
Melbourne,2015,Hidrelétrica,Manufatura,Temperado,10738,1,68517,"0,6688",260691,579,2069174,4374163
Cidade do México,2019,Nuclear,Tecnologia,Mediterrâneo,16769,5,323727,"0,4756",18024,4907,2493383,3861753
Moscou,2020,Hidrelétrica,Manufatura,Tropical,15327,23,256667,"0,3867",9943,2072,2248305,13903901
Nova York,2023,Solar,Manufatura,Desértico,23167,23,23366,"0,4702",106111,825,1860066,7332073
Los Angeles,2020,Hidrelétrica,Turismo,Frio,3993,15,379565,"0,7754",690441,206,697375,15544343
São Paulo,2015,Nuclear,Agronegócio,Temperado,38929,8,9576,"0,5315",763709,2871,1344307,8755581
Rio de Janeiro,2019,Eólica,Manufatura,Frio,47027,19,318295,"0,0585",661289,2332,471326,11935059
Berlim,2023,Gás Natural,Turismo,Tropical,38070,7,83095,"0,5147",769971,1111,3506871,9725079
Munique,2022,Eólica,Turismo,Temperado,7821,7,260148,"0,4311",51603,605,1508981,2699754
Mumbai,2022,Eólica,Manufatura,Desértico,7189,21,171056,"0,6275",773481,3027,454711,12419425
Nova Délhi,2021,Eólica,Tecnologia,Tropical,22605,14,366982,"0,4158",684881,307,1858921,15407631
Pequim,2016,Carvão,Manufatura,Frio,32024,24,3464,"0,2502",632883,4114,231225,12389606
Xangai,2022,Carvão,Mineração,Temperado,34098,6,323511,"0,0582",392765,3807,5021572,3366177
Tóquio,2019,Gás Natural,Financeiro,Mediterrâneo,15187,1,427159,"0,1532",217754,2701,3780075,7746331
Osaka,2016,Hidrelétrica,Manufatura,Frio,1701,1,175526,"0,7129",358783,878,66739,16900065
Londres,2020,Hidrelétrica,Agronegócio,Tropical,33250,19,165097,"0,2794",307603,4624,1080967,18703400
Paris,2017,Eólica,Financeiro,Tropical,34017,2,173053,"0,0512",698266,188,1686523,13790826
Toronto,2019,Gás Natural,Agronegócio,Temperado,29497,2,445680,"0,0799",154382,1646,1385268,14329797
Vancouver,2015,Carvão,Manufatura,Desértico,1927,19,205065,"0,5643",678905,2554,17687,17696270
Sydney,2019,Hidrelétrica,Turismo,Frio,27991,6,431408,"0,4436",380639,828,4732885,1198612
Melbourne,2015,Gás Natural,Manufatura,Frio,24385,1,410983,"0,4004",60397,3289,2771643,548576
Cidade do México,2020,Solar,Mineração,Desértico,15779,23,46256,"0,7055",504207,115,3622477,7143496
Moscou,2017,Nuclear,Agronegócio,Tropical,13582,17,209737,"0,0515",189535,4389,2966832,6037686
Nova York,2022,Hidrelétrica,Financeiro,Mediterrâneo,24367,11,64724,"0,4124",319411,3141,4429483,14714691
Los Angeles,2020,Carvão,Manufatura,Tropical,8803,18,233641,"0,1716",732032,1755,347498,18803233
São Paulo,2015,Hidrelétrica,Tecnologia,Mediterrâneo,48613,18,256010,"0,4169",629647,3333,9486225,17460676
Rio de Janeiro,2020,Hidrelétrica,Mineração,Mediterrâneo,1789,17,349950,"0,3621",879657,317,29367,15195486
Berlim,2018,Carvão,Manufatura,Temperado,14692,16,361428,"0,1942",310442,219,158711,17534031
Munique,2016,Gás Natural,Manufatura,Frio,46432,23,198064,"0,5671",350189,2951,7167071,15295945
Mumbai,2022,Solar,Financeiro,Frio,48204,22,413465,"0,4612",738479,2746,963801,3633924
Nova Délhi,2023,Carvão,Tecnologia,Frio,11741,13,225468,"0,3318",102258,831,527843,19912352
Pequim,2015,Hidrelétrica,Mineração,Tropical,44614,17,470485,"0,2558",886650,4047,2253988,5145568
Xangai,2023,Solar,Turismo,Tropical,19704,19,101126,"0,6234",799977,2022,3876428,8070083
Tóquio,2023,Gás Natural,Agronegócio,Frio,24322,5,400425,"0,8957",81145,2559,1780359,18982757
Osaka,2016,Eólica,Financeiro,Mediterrâneo,5925,9,483893,"0,0125",616665,1329,78204,3780385
Londres,2019,Eólica,Manufatura,Desértico,37761,18,315237,"0,0342",97314,290,5710621,7622899
Paris,2022,Nuclear,Agronegócio,Frio,34405,1,118357,"0,3296",360735,3347,6297612,1591956
Toronto,2018,Gás Natural,Tecnologia,Frio,37317,23,5971,"0,6513",603076,1223,9129165,5638223
Vancouver,2020,Hidrelétrica,Manufatura,Desértico,23309,17,81033,"0,2121",308030,3669,544825,14033716
Sydney,2022,Nuclear,Financeiro,Tropical,8324,2,10697,"0,4904",385281,3902,162685,5096118
Melbourne,2015,Solar,Manufatura,Mediterrâneo,29505,24,435742,"0,3478",973021,4629,6676803,16871390
Cidade do México,2020,Solar,Tecnologia,Frio,39899,18,385146,"0,2004",161595,1683,6251877,700337
Moscou,2016,Eólica,Manufatura,Frio,10662,13,329773,"0,1562",134457,4906,1375499,4004256
Nova York,2022,Eólica,Mineração,Desértico,5605,14,54384,"0,5689",899052,2084,1173456,8489713
Los Angeles,2023,Gás Natural,Turismo,Desértico,23894,9,418528,"0,2527",858122,4312,4981937,4112968
São Paulo,2017,Hidrelétrica,Agronegócio,Temperado,40644,13,285278,"0,8151",192766,978,2014622,10359625
Rio de Janeiro,2019,Solar,Manufatura,Desértico,34051,12,104266,"0,6686",357862,2236,7579463,10192674
Berlim,2017,Nuclear,Financeiro,Temperado,30030,25,378440,"0,2706",989692,1061,4527338,6032166
Munique,2018,Gás Natural,Agronegócio,Desértico,29502,11,282335,"0,7385",180535,437,726273,1452700
Mumbai,2023,Solar,Manufatura,Tropical,11122,7,85896,"0,4186",275203,1414,1598454,8076221
Nova Délhi,2017,Carvão,Turismo,Frio,19179,2,481610,"0,2838",511467,3684,2052078,16474198
Pequim,2020,Carvão,Turismo,Temperado,15269,24,195549,"0,3153",889765,3981,1183215,9654382
Xangai,2023,Nuclear,Manufatura,Frio,48438,19,295419,"0,4985",460213,637,8506887,17085003
Tóquio,2023,Carvão,Mineração,Mediterrâneo,45137,9,410398,"0,2456",784744,51,151238,1312690
Osaka,2019,Gás Natural,Manufatura,Frio,33824,6,403399,"0,6665",419608,4209,6401527,1895913
Londres,2021,Nuclear,Mineração,Temperado,21278,6,311275,"0,0234",73788,2381,3174335,17481757
Paris,2022,Carvão,Mineração,Tropical,34779,25,261195,"0,5415",401553,2728,6210132,9044810
Toronto,2018,Solar,Turismo,Desértico,5620,22,492725,"0,4526",578391,3314,437998,7041976
Vancouver,2021,Gás Natural,Financeiro,Frio,20551,8,234677,"0,5004",893468,3273,3895192,940045
Sydney,2016,Carvão,Manufatura,Desértico,16135,7,162726,"0,1934",18615,1987,3178063,12583219
Melbourne,2017,Carvão,Agronegócio,Tropical,43129,19,108593,"0,7997",186840,1848,2030608,17669146
Cidade do México,2023,Hidrelétrica,Turismo,Desértico,14929,15,495767,"0,7255",74499,355,715699,639170
Moscou,2016,Carvão,Turismo,Mediterrâneo,25104,8,313270,"0,3267",102539,2923,186537,19294709
Nova York,2021,Carvão,Manufatura,Frio,20297,25,341908,"0,5108",353817,1956,3945833,6575128
Los Angeles,2022,Carvão,Tecnologia,Mediterrâneo,30951,2,184887,"0,2865",624651,2101,2002315,12371501
São Paulo,2017,Solar,Mineração,Mediterrâneo,14433,9,355889,"0,8699",923715,3881,232021,18872392
Rio de Janeiro,2022,Gás Natural,Agronegócio,Temperado,33786,22,11351,"0,5082",761533,139,943807,18365842
Berlim,2017,Gás Natural,Manufatura,Frio,8694,18,156357,"0,4317",701304,3838,118889,4671884
Munique,2018,Hidrelétrica,Agronegócio,Mediterrâneo,27448,14,411430,"0,8957",692482,4574,5247139,16382576
Mumbai,2020,Carvão,Agronegócio,Tropical,42809,19,64363,"0,1415",683624,4696,46546,1766110
Nova Délhi,2022,Hidrelétrica,Agronegócio,Desértico,9743,14,249112,"0,5471",110318,2081,117385,10695853
Pequim,2019,Hidrelétrica,Mineração,Temperado,19145,2,453997,"0,4738",25704,4979,477687,5020142
Xangai,2019,Hidrelétrica,Manufatura,Temperado,3976,21,213374,"0,2099",617896,2374,600965,19205494
Tóquio,2017,Solar,Financeiro,Tropical,1617,17,94782,"0,7686",620669,3973,82042,13250723
Osaka,2020,Solar,Agronegócio,Temperado,5295,9,21118,"0,3131",247468,645,139101,12993176
Londres,2022,Solar,Turismo,Frio,49753,6,355250,"0,8655",885377,4081,198678,18951834
Paris,2018,Hidrelétrica,Turismo,Tropical,14305,15,346535,"0,5042",360270,1688,2170595,906115
Toronto,2016,Carvão,Tecnologia,Temperado,19365,23,242600,"0,1232",228597,2384,772034,9870460
Vancouver,2022,Solar,Agronegócio,Tropical,10082,19,247420,"0,1992",557200,466,2144647,7837403
Sydney,2021,Hidrelétrica,Turismo,Mediterrâneo,42108,17,130820,"0,7982",175847,626,9859315,4824428
Melbourne,2023,Nuclear,Tecnologia,Tropical,39577,9,449097,"0,5416",621396,232,8938134,16251572
Cidade do México,2016,Hidrelétrica,Turismo,Tropical,42654,24,86235,"0,3941",697617,361,3531491,5396815
Moscou,2018,Nuclear,Manufatura,Frio,3588,1,151408,"0,0338",984338,3381,87165,9264702
Nova York,2019,Eólica,Tecnologia,Frio,40660,25,253863,"0,6276",757165,3144,2327027,17245700
Los Angeles,2022,Carvão,Manufatura,Tropical,1177,16,249096,"0,0475",375162,1098,132529,8054972
São Paulo,2019,Eólica,Financeiro,Temperado,42904,15,222962,"0,5377",988008,3058,6686961,2041977
Rio de Janeiro,2017,Solar,Mineração,Mediterrâneo,19871,15,316521,"0,4706",510032,2466,451446,17542713
Berlim,2015,Hidrelétrica,Mineração,Mediterrâneo,36743,23,243639,"0,8116",584614,41,6334348,8145220
Munique,2018,Eólica,Turismo,Tropical,30052,7,114863,"0,0892",33351,3605,6843866,19367862
Mumbai,2018,Solar,Manufatura,Desértico,32917,7,372913,"0,1656",53910,57,4633362,14647707
Nova Délhi,2021,Nuclear,Agronegócio,Tropical,42956,14,158404,"0,0111",552167,387,5435221,17134690
Pequim,2015,Carvão,Agronegócio,Tropical,25307,24,3998,"0,5078",53515,1724,4421165,4474263
Xangai,2022,Carvão,Turismo,Mediterrâneo,48150,22,379277,"0,6582",621092,2894,1192379,9794922
Tóquio,2019,Hidrelétrica,Tecnologia,Tropical,27667,8,228165,"0,2824",559554,4252,4433458,1729078
Osaka,2023,Solar,Tecnologia,Frio,48076,23,440283,"0,6107",736750,4535,3745237,11441707
Londres,2023,Gás Natural,Manufatura,Mediterrâneo,13960,12,14082,"0,2085",643411,3704,331402,6391207
Paris,2020,Eólica,Manufatura,Temperado,4055,22,153413,"0,8847",95225,3663,475894,17387117
Toronto,2022,Carvão,Tecnologia,Temperado,34594,12,227175,"0,3134",494965,4683,1241268,16148023
Vancouver,2015,Hidrelétrica,Manufatura,Tropical,42852,21,475791,"0,3509",604231,3256,2941417,19495024
Sydney,2017,Carvão,Agronegócio,Tropical,47859,17,202854,"0,1148",246987,2677,2358654,3660641
Melbourne,2022,Nuclear,Mineração,Desértico,31793,11,49143,"0,5991",865455,947,682323,9203696
Cidade do México,2021,Hidrelétrica,Mineração,Temperado,9915,1,192865,"0,1181",254346,1981,2219271,4066159
Moscou,2018,Hidrelétrica,Agronegócio,Tropical,11402,1,82512,"0,7075",326931,1194,2783348,19668217
Nova York,2018,Carvão,Manufatura,Mediterrâneo,22299,14,188251,"0,4001",737843,3224,5410398,11608253
Los Angeles,2021,Hidrelétrica,Mineração,Temperado,24517,11,489769,"0,3178",472389,653,4065216,2049074
São Paulo,2022,Eólica,Manufatura,Frio,22650,25,130152,"0,7458",890392,256,2880073,15516924
Rio de Janeiro,2017,Solar,Mineração,Temperado,42953,25,458569,"0,7238",412000,4107,7374664,1134778
Berlim,2022,Nuclear,Financeiro,Tropical,3308,23,355161,"0,7244",331677,924,233396,1156880
Munique,2019,Carvão,Agronegócio,Frio,7290,12,72727,"0,2844",951141,2416,1030003,8095568
Mumbai,2022,Eólica,Tecnologia,Frio,9946,2,212929,"0,4863",924683,1823,1731118,15009850
Nova Délhi,2018,Hidrelétrica,Agronegócio,Tropical,24873,12,120396,"0,6511",233466,3077,3586123,10926017
Pequim,2018,Solar,Financeiro,Desértico,30253,15,320099,"0,8679",372274,905,190411,3576324
Xangai,2016,Hidrelétrica,Tecnologia,Frio,26728,21,75661,"0,7567",946827,2643,2494204,9626690
